"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2019년 08월 27일","10,184.8","10,372.2","10,387.6","10,060.2","419.81K","-1.80%"
"2019년 08월 26일","10,371.8","10,136.0","10,568.2","10,136.0","568.77K","2.32%"
"2019년 08월 25일","10,136.3","10,132.1","10,307.0","9,935.2","422.53K","0.05%"
"2019년 08월 24일","10,131.0","10,389.4","10,415.9","9,917.5","463.85K","-2.48%"
"2019년 08월 23일","10,388.7","10,104.9","10,434.3","9,921.4","436.26K","2.81%"
"2019년 08월 22일","10,105.0","10,141.1","10,218.2","9,777.0","520.75K","-0.36%"
"2019년 08월 21일","10,141.5","10,753.3","10,797.8","9,908.0","717.65K","-5.68%"
"2019년 08월 20일","10,752.6","10,911.2","10,941.6","10,581.0","515.47K","-1.45%"
"2019년 08월 19일","10,910.7","10,312.8","10,923.9","10,267.8","519.01K","5.80%"
"2019년 08월 18일","10,312.7","10,219.3","10,494.9","10,086.7","441.11K","0.93%"
"2019년 08월 17일","10,218.1","10,335.5","10,460.7","10,016.3","497.77K","-1.14%"
"2019년 08월 16일","10,335.6","10,300.9","10,734.0","9,788.6","798.67K","0.31%"
"2019년 08월 15일","10,303.4","10,053.3","10,448.2","9,580.1","930.05K","2.53%"
"2019년 08월 14일","10,049.4","10,894.2","10,894.5","9,965.5","745.59K","-7.74%"
"2019년 08월 13일","10,892.9","11,395.0","11,445.6","10,793.2","540.78K","-4.40%"
"2019년 08월 12일","11,394.2","11,505.1","11,508.6","11,267.3","391.08K","-1.07%"
"2019년 08월 11일","11,517.2","11,314.6","11,728.4","11,146.1","435.83K","1.79%"
"2019년 08월 10일","11,314.5","12,090.5","12,185.0","11,281.6","570.74K","-6.41%"
"2019년 08월 09일","12,089.8","12,190.0","12,225.3","11,885.0","558.72K","-0.84%"
"2019년 08월 08일","12,191.6","12,015.9","12,236.6","11,727.0","592.15K","1.48%"
"2019년 08월 07일","12,013.9","11,481.0","12,114.5","11,406.4","702.85K","4.64%"
"2019년 08월 06일","11,480.9","11,817.6","12,291.9","11,237.0","807.58K","-2.84%"
"2019년 08월 05일","11,816.8","10,934.8","11,922.3","10,934.8","769.63K","8.07%"
"2019년 08월 04일","10,934.6","10,816.1","11,017.7","10,568.8","585.71K","1.10%"
"2019년 08월 03일","10,815.7","10,519.9","10,893.6","10,504.5","508.75K","2.81%"
"2019년 08월 02일","10,520.1","10,380.5","10,664.8","10,330.5","578.29K","1.35%"
"2019년 08월 01일","10,380.0","10,081.9","10,459.0","9,890.6","608.37K","2.96%"
"2019년 07월 31일","10,082.0","9,580.3","10,100.0","9,562.4","589.84K","5.23%"
"2019년 07월 30일","9,580.7","9,580.0","9,703.0","9,483.0","511.51K","-0.00%"
"2019년 07월 29일","9,580.9","9,728.5","9,835.4","9,502.5","510.90K","-1.51%"
"2019년 07월 28일","9,727.8","9,491.1","9,798.5","9,401.1","518.59K","2.48%"
"2019년 07월 27일","9,492.1","9,830.4","10,232.3","9,389.1","661.89K","-3.45%"
"2019년 07월 26일","9,831.0","9,945.2","10,436.1","9,724.2","493.75K","-1.15%"
"2019년 07월 25일","9,945.3","9,804.7","10,203.5","9,776.6","545.85K","1.44%"
"2019년 07월 24일","9,804.3","9,887.2","9,945.3","9,584.0","639.54K","-0.85%"
"2019년 07월 23일","9,888.7","10,412.8","10,414.7","9,865.4","663.38K","-5.03%"
"2019년 07월 22일","10,412.5","10,715.1","10,806.3","10,196.5","591.27K","-2.82%"
"2019년 07월 21일","10,714.4","10,827.0","10,883.8","10,442.5","562.17K","-1.04%"
"2019년 07월 20일","10,826.7","10,571.9","11,155.6","10,462.0","668.94K","2.41%"
"2019년 07월 19일","10,571.5","10,651.6","10,758.4","10,160.7","727.79K","-0.75%"
"2019년 07월 18일","10,651.4","9,723.1","10,787.1","9,390.0","974.49K","9.55%"
"2019년 07월 17일","9,723.2","9,425.1","9,983.6","9,082.6","1.03M","3.17%"
"2019년 07월 16일","9,424.8","10,844.0","11,019.5","9,375.3","1.05M","-13.10%"
"2019년 07월 15일","10,845.9","10,199.9","11,064.7","9,885.4","956.52K","6.33%"
"2019년 07월 14일","10,200.1","11,364.3","11,448.7","10,128.9","840.76K","-10.25%"
